University,State
Dominican University,IL
Drexel University,PA
Emporia State University,KS
Florida State University,FL
Indiana University Bloomington,IN
Indiana University Indianapolis,IN
Kent State University,OH
Long Island University,NY
McGill University,QC
Université de Montréal,QC
Rutgers University,NJ
San Jose State University,CA
Simmons University,MA
State University of New York Albany,NY
State University of New York Buffalo,NY
Syracuse University,NY
University of Alabama,AL
University of Alberta,AB
University of Arizona,AZ
University of British Columbia,BC
University of California Los Angeles,CA
University of Hawaii,HI
University of Illinois Urbana-Champaign,IL
University of Kentucky,KY
University of Maryland,MD
University of Michigan,MI
University of Missouri,MO
University of North Carolina Chapel Hill,NC
University of North Texas,TX
University of Oklahoma,OK
University of Pittsburgh,PA
University of South Carolina,SC
University of Tennessee Knoxville,TN
University of Texas Austin,TX
University of Toronto,ON
University of Washington,WA
Western University,ON
University of Wisconsin Madison,WI
University of Wisconsin Milwaukee,WI
