University,City,State,Country,Link,Name,PhD,Since,Others,Notes
Carnegie Mellon University,Pittsburgh,PA,United States of America,https://www.heinz.cmu.edu/,,TRUE,,,
Cornell University,Ithaca,NY,United States of America,https://infosci.cornell.edu/,Information Science,TRUE,2002,"Computer Science, Statistics + Data Science",
Dalhousie University,Halifax,NS,Canada,https://www.dal.ca/faculty/management.html,Information,TRUE,,,
Dominican University,Chicago,IL,United States of America,https://www.dom.edu/academics/colleges-and-schools/cbist,Information Studies,TRUE,,"College of Business, Information Studies and Technology",
Drexel University,Philadelphia,PA,United States of America,https://drexel.edu/cci/,Information Science,TRUE,,,
Florida State University,Tallahassee,FL,United States of America,https://ischool.cci.fsu.edu/,Information,TRUE,,,
George Mason University,Fairfax,VA,United States of America,https://ist.gmu.edu/,Information Systems and Technology,TRUE,,"Information Technology, ",Information Science as a graduate certificate
Georgia Tech,Atlanta,GA,United States of America,https://www.cc.gatech.edu/,,TRUE,,,
Indiana University Bloomington,Bloomington,IN,United States of America,https://ils.indiana.edu/,Information Science,TRUE,,,
Indiana University Indianapolis,Indianapolis,IN,United States of America,https://luddy.indianapolis.iu.edu/,Information Science,TRUE,,"Data Science, Human-Computer Interaction, Computer Science",
Kent State University,Kent,OH,United States of America,https://www.kent.edu/iSchool,Communication and Information,TRUE,,,
Long Island University,Brookville,NY,United States of America,https://www.liu.edu/palmer/,Information Studies,TRUE,,,
Louisiana State University,Baton Rouge,LA,United States of America,https://www.lsu.edu/chse/sis/,,FALSE,,,
McGill University,Montréal,QC,Canada,https://www.mcgill.ca/sis/,Information Studies,TRUE,,,Library & Information Studies as a grad certificate
Michigan State University,East Lansing,MI,United States of America,https://comartsci.msu.edu/departments/media-and-information,Information and Media,TRUE,,,
Penn State University,University Park,PA,United States of America,https://ist.psu.edu/,,TRUE,1999,,
Pratt Institute,New York,NY,United States of America,https://www.pratt.edu/information/,,FALSE,,,
Rochester Institute of Technology,Rochester,NY,United States of America,https://www.rit.edu/computing/school-of-information,Computer and Information Science,TRUE,,,
Rutgers University,New Brunswick,NJ,United States of America,https://comminfo.rutgers.edu/,"Communication, Information, and Media",TRUE,,,
San Jose State University,San José,CA,United States of America,https://ischool.sjsu.edu/,Library and Information Management,TRUE,,,
Simmons University,Boston,MA,United States of America,https://www.simmons.edu/academics/departments/slis,Library and Information Science,TRUE,,,
State University of New York Albany,Albany,NY,United States of America,https://www.albany.edu/cehc/information-sciences-and-technology,Information Science,TRUE,,,
State University of New York Buffalo,Buffalo,NY,United States of America,https://ed.buffalo.edu/information.html,Information Science,TRUE,,,
Syracuse University,Syracuse,NY,United States of America,https://ischool.syracuse.edu/,Information Science and Technology,TRUE,,,
University of Alabama,Tuscaloosa,AL,United States of America,https://cis.ua.edu/,Communication and Information Sciences,TRUE,,,
University of Arizona,Tucson,AZ,United States of America,https://infosci.arizona.edu/,Information,TRUE,,,
University of British Columbia,Vancouver,BC,Canada,https://ischool.ubc.ca/,"Library, Archival and Information Studies",TRUE,,,
University of California Berkeley,Berkeley,CA,United States of America,https://www.ischool.berkeley.edu/,Information Science,TRUE,,,
University of California Irvine,Irvine,CA,United States of America,https://ics.uci.edu/,Information and Computer Sciences,TRUE,,,
University of California Los Angeles,Los Angeles,CA,United States of America,https://seis.ucla.edu/,Information Studies,TRUE,,,
University of Cincinnati,Cincinnati,OH,United States of America,https://cech.uc.edu/schools/it.html,,,,,
University of Colorado Boulder,Boulder,CO,United States of America,,,,,,
University of Denver,Denver,CO,United States of America,https://morgridge.du.edu/academic-programs/library-information-science,Library & Information Science,FALSE,,,
University of Illinois Urbana-Champaign,Urbana-Champaign,IL,United States of America,https://ischool.illinois.edu/,Information Sciences,TRUE,,,
University of Iowa,Iowa City,IA,United States of America,https://slis.uiowa.edu/,,FALSE,,,
University of Kentucky,Lexington,KY,United States of America,https://ci.uky.edu/sis,,,,,
University of Maryland,College Park,MD,United States of America,https://ischool.umd.edu/,Information Studies,TRUE,,,
University of Maryland Baltimore County,Baltimore,MD,United States of America,,,,,,
University of Michigan,Ann Arbor,MI,United States of America,https://www.si.umich.edu/,Information,TRUE,,,
University of Missouri,Columbia,MO,United States of America,,,,,,
Université de Montréal,Montréal,QC,Canada,,,,,,
University of North Carolina Chapel Hill,Chapel Hill,NC,United States of America,https://sils.unc.edu/,Information and Library Science,TRUE,,,
University of North Texas,Denton,TX,United States of America,,,,,,
University of Oklahoma,Norman,OK,United States of America,https://www.ou.edu/cas/slis,,,,,
University of Pittsburgh,Pittsburgh,PA,United States of America,https://www.sci.pitt.edu/,Information Science,TRUE,,,
University of South Carolina,Columbia,SC,United States of America,https://sc.edu/study/colleges_schools/cic/library_and_information_science/,,,,,
University of South Florida,Tampa,FL,United States of America,https://www.usf.edu/arts-sciences/departments/information/graduate/,,,,,
University of Tennessee Knoxville,Knoxville,TN,United States of America,https://sis.utk.edu/,Communication and Information,TRUE,,,
University of Texas Austin,Austin,TX,United States of America,,,,,,
University of Toronto,Toronto,ON,Canada,https://ischool.utoronto.ca/,Information,TRUE,,,
University of Washington,Seattle,WA,United States of America,https://ischool.uw.edu/,Information Science,TRUE,,,
University of Wisconsin Madison,Madison,WI,United States of America,,,,,,
University of Wisconsin Milwaukee,Milwaukee,WI,United States of America,https://uwm.edu/informationstudies/,Information Studies,TRUE,,,
Wayne State University,Detroit,MI,United States of America,https://sis.wayne.edu/,,FALSE,,,
